dataset,vocab_size,embedding,net,hidden_size,num_layers,dropout,bidirectional,attention,type,epoch,time,speed,loss_mean,loss_std,precision,recall,f1-score,accuracy
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,train,0,94.92436861991882,4.119068745830488,0.6329118846475011,0.06186888686189111,0.6400659018722266,0.63984,0.6396947226062011,0.63984
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,test,0,34.59013271331787,11.303801672014327,0.5235746498303036,0.09778330671284695,0.7434977976770356,0.74304,0.7429191662495266,0.74304
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,train,1,92.34640192985535,4.234057763257485,0.547810005791047,0.07444363240872964,0.7244045038881549,0.7244,0.7243986171425014,0.7244
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,test,1,35.009848833084106,11.168285869046862,0.4769143595567445,0.08275608612032195,0.7850446341698966,0.78476,0.7847062540692659,0.78476
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,train,2,91.3322160243988,4.281074269516759,0.47123115256314385,0.07669842928616388,0.780006451502268,0.77996,0.7799508737705584,0.77996
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,test,2,34.938403367996216,11.191123872539588,0.4001182305157337,0.13888589937527576,0.8241906727397436,0.82212,0.8218355066519587,0.82212
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,train,3,92.1529791355133,4.242944760635731,0.4045380807441214,0.07845855148928914,0.8204070194705808,0.82032,0.820307799330836,0.82032
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,test,3,34.71643686294556,11.26267656855454,0.3531985389797584,0.09903761643349188,0.8448738324904274,0.84472,0.8447026822370258,0.84472
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,train,4,91.59755039215088,4.2686731067155845,0.37475328143600306,0.07199825262415664,0.8372399205732539,0.8372,0.8371951820193387,0.8372
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,test,4,34.569324254989624,11.310605816761498,0.37530522549624945,0.1982258531917769,0.8450509678489017,0.8316,0.829942682880075,0.8316
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,train,5,91.62864303588867,4.267224604066819,0.32706006256210834,0.06974988228294986,0.8609242680206186,0.86084,0.8608318768123168,0.86084
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,test,5,35.06811451911926,11.149729757692715,0.3327945887165911,0.10687304171244225,0.8565558670371622,0.85596,0.8558997958569504,0.85596
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,train,6,91.74007105827332,4.262041608313522,0.3174754437202078,0.06859734461373712,0.8662169338710222,0.8662,0.8661984532541197,0.8662
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,test,6,35.10716128349304,11.137328844182097,0.32908077947700115,0.10873183426216204,0.8576199257079091,0.85692,0.8568499574858381,0.85692
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,train,7,91.42543935775757,4.276709007325357,0.312493992278643,0.06545712236347156,0.8679012499761986,0.86788,0.8678780921596507,0.86788
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,test,7,34.180681467056274,11.439210197633134,0.32463770382620794,0.09867484684671349,0.8585364392598516,0.85808,0.85803481736597,0.85808
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,train,8,91.98856234550476,4.250528435605094,0.3075415941760363,0.06774220486714108,0.8707497643842843,0.87072,0.8707174052466102,0.87072
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,test,8,34.72037720680237,11.261398390665981,0.32863307767130834,0.11846203643015785,0.8599271966661333,0.85884,0.8587333224119127,0.85884
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,train,9,91.90191745758057,4.254535822720729,0.3038622901186614,0.07292237165169632,0.8722877412023756,0.87228,0.8722793360569006,0.87228
IMDB,50000,glove.6B.100d,RNN,256,2,0.5,1,1,test,9,35.11944055557251,11.133434753360808,0.32467319569586184,0.11966555017467187,0.8605464820380756,0.85904,0.8588926016952211,0.85904
