dataset,vocab_size,embedding,net,hidden_size,num_layers,dropout,bidirectional,attention,type,epoch,time,speed,loss_mean,loss_std,precision,recall,f1-score,accuracy
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,train,0,14.99665880203247,26.072474219858123,0.6304450984806051,0.062394247972727135,0.6404400728041337,0.64044,0.640439953401018,0.64044
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,test,0,10.071531295776367,38.82229906429136,0.6309963934256902,0.21211531287291793,0.711403890657747,0.6808,0.6688139607396032,0.6808
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,train,1,15.002598524093628,26.06215179137589,0.6730647968209308,0.055254682186411996,0.5877562933798967,0.58736,0.586893619420581,0.58736
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,test,1,9.810336589813232,39.85592098909257,0.6542629038586336,0.07109630235895016,0.6171754176108126,0.61048,0.604835056772988,0.61048
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,train,2,14.902292013168335,26.23757470693064,0.6728557371117575,0.04560134945908827,0.5756104914078987,0.57524,0.5747190308127457,0.57524
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,test,2,9.883294582366943,39.56170654850194,0.6682777799608762,0.02365309253417801,0.5795606970790035,0.57956,0.5795590790662067,0.57956
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,train,3,14.842299938201904,26.34362609757153,0.6558206168282062,0.029115398078493775,0.5993544543124406,0.59916,0.5989637752210186,0.59916
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,test,3,10.007746934890747,39.069732932277475,0.6523234021023411,0.035947890019627074,0.6043159608365429,0.60368,0.6030750380919767,0.60368
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,train,4,14.766429424285889,26.4789807180424,0.6402846214259067,0.045256797205698716,0.6237609156327583,0.62376,0.623759304105209,0.62376
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,test,4,9.953471899032593,39.28277529351366,0.6504410321602736,0.1281243305658354,0.6214280045903444,0.60356,0.5884190736841983,0.60356
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,train,5,15.383750438690186,25.416428949382436,0.6279363014813885,0.03982001380560807,0.6368511836976937,0.63684,0.6368325803443495,0.63684
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,test,5,9.850411653518677,39.69377258059367,0.6343412951130392,0.04252690405088759,0.6274800660856663,0.62748,0.6274799517214017,0.62748
